userName,content,score,at
Binsarniari Sinaga,minta tolong nih kenapa disuruh masukin kode otp nya ?,5,2024-08-20 07:57:41
Farah Hanavya,Simpel sekali menggunakannya dan mudah membaca nya. Keren,5,2024-08-15 21:07:11
Agus,Punya nama besar tp aplikasi gk bisa diurus.. Login aja susah.. Masa kalah sm toko kopi sebelah yang aplikasinya lancar,1,2024-08-14 02:39:34
ifan banjar (iF4N B4Nj4r),tidak bisa login buat akun juga tidak bisa,1,2024-08-13 07:59:52
Bunga Matahari,Oke,4,2024-08-12 22:48:18
Mutiara S,Good,5,2024-08-10 18:49:40
Phoenix Livin,good,5,2024-08-10 05:04:43
Andri Setiadi,"Di starbucks sering down, jadi belanja gak bisa pakai aplikasi 😄😄🤭🤭, mudah mudahan semakin baik ya, tetap semangat 💪💪💪",5,2024-08-02 15:42:00
Jeffrey Tanadi,"Selalu gagal untuk coba go premium, dengan alasan alamat tidak sesuai dengan ID. Padahal sudah di copy paste dan sama. Ribet banget cuma buat verif dompet digital.",1,2024-07-31 14:11:07
Heni Suharti,Semua menu di starbuck enak semua Aku bukan penikmat sejati kopi Starbuck sih sebenarnya,5,2024-07-28 02:59:36
yugusti arianto,"Kenapa habis hapus aplikasi trus download lagi sekarang aplikasi malah tidak bisa dibuka? Bisanya dibuka lewat internet? Sudah email jg g pernah da jawaban, selalu dalam antrian?",1,2024-07-27 18:43:20
Rini Panggabean,Pakai starbucks app Pembelian jadi lbh mudah dan murah. Tukar poin rewards juga gampang. Top up lewat mobile banking maupun offline di counter juga cepet. Good lah...,5,2024-07-27 05:27:41
Radicho Sugandhi,"Nggak jelas, susah login",1,2024-07-25 06:58:33
afi nurachmad,"kak dulu cuman no telp aja, sekarang aku buka harus pakai email. gimana sih? sedang kan no lama saya sudah kepakai saya mau buka akun saya jadi gak bisa, mintak tolong di perbaiki lagi app nya gak usah bagus2 tampilanya yang penting bisa di akses sama member lama. mintak tolong gimana supaya akun saya yang lama bisa pulih kembali ya ?",1,2024-07-22 03:06:33
yutu like,"Saya pikir slogan ""ADA HARGA ADA KUALITAS"" itu bener, ternyata engga, lebih enak kopi kafe brand lokal, malah masih kalah dengan kopi mini market, apa mungkin lidah saya yg gak cocok? Tapi enggak lah, kata bule yg ke Indonesia saja bilang kalau kopi Indonesia lebih enak dibanding STARBUCKS",1,2024-07-19 11:53:37
Jennifer Florence,"ketika mau login, pass sm email uda benar² sesuai malah invalid. dan ketika mau lupa pass send ke gmail, mlh ga nerima notif apapun",1,2024-07-19 00:57:31
Agus Fajar,Taii,1,2024-07-17 09:15:36
Posko 5 Wanea,Aplikasinya jelek banget.. udah coba otak atik sana sini tetep aja gak bisa di pake.. ga jelas banget ini aplikasi.. ratingnya 0/1000,1,2024-07-13 07:38:36
Pic of R Family Official,BOIKOT,1,2024-07-12 01:22:49
Lintang Gibran Prabuan,kopi mahal rasa seperti kopi biasa,1,2024-07-10 04:37:52
wayan wiranatha,Very Good,4,2024-07-07 16:27:05
Sepasang Sepi,Mending ngopi ng warung cilik,1,2024-07-07 06:13:54
Ade Rahma,Kendala yg sy alami cepat di atasi,5,2024-07-06 06:13:50
Andry Liembong568,Pelayanan di Starbuck emang beda dan minuman serta makanannya pun sangat fresh dan terkontrol penyajiannya.,5,2024-07-03 01:01:59
Hardi Novendra,Tidak bisa login stelah upgrade..mohon kerjasmaa nya..,1,2024-06-25 17:05:10
Tamariska Sitorus,Susah untuk daftarnya. Gak jelas aplikasinya.,1,2024-06-25 05:40:17
willy satria,Download cuman cari gratisan aja buat punya punya aja,1,2024-06-24 07:58:32
ampratikna 14,"Mau sign in pertama kali harus masukin OTP, tapi OTP nya aja gak masuk ke email, udah coba pake bbrp email dan gadget yg berbeda",1,2024-06-20 09:01:08
Dimas Prasojo,"Mau login, susah",1,2024-06-20 06:32:27
Ahyiz Zaqy,Saya sudah ganti password tapi tetep tidak bisa masuk. padahal udh bener email dan password udh di ganti sama yang baru,1,2024-06-12 09:32:30
Theodore,Login nya susah bet dah,1,2024-06-10 11:06:04
Maya Angraeny (Mimih),Kecewaaaaa... Dari pertama download dan gabung member di janjiin dapat gantungan kunci namun setiap mampir di store starbucks dari jakarta sampai bandung sampai balik lagi ke jakarta semua store starbucks bilang habis alias kosong ... huffftttt,1,2024-06-10 09:37:21
Poppy Iriani,Sudah lama saya tidak menerima promo starbuck di aplikasi starbuck yang ada di di hp saya..ada apa dengan mu starbuck????,2,2024-06-08 11:20:17
Muhammad Redo,Boycot continues to arrive at the application 🗿😂,1,2024-06-06 16:29:58
Retvika Fatimah Zahra,Not really reccomended. Boikot and block. Thanks,1,2024-06-06 15:22:26
universe milikmu,Ngelag teruss,1,2024-06-05 00:43:02
adelia syamsuddin,"Minuman ga enak,bau darah",1,2024-05-31 14:17:19
mely nafiandary,Boycott children killers,1,2024-05-30 17:31:59
Petra Skyy,"gabisa login, dipersulit login doang",1,2024-05-30 16:24:54
Wayan eka,Mau login gk bisa-bisa tolong donk solusinya,1,2024-05-30 08:11:52
Joshua Verrel,aplikasi gajelas gabisa logib,1,2024-05-29 14:47:25
M david Chaesar,"WAH GILA,GW PAKE APLIKASI INI DISKON 50% COK GILA,POKOK NYA JANGAN LUPA DOWNLOAD",5,2024-05-29 11:49:13
Edy Susanto,Bad loading to slow,5,2024-05-28 04:47:34
Muhammmad Daffa Al - fatih,"Min tolong perbaiki yak, ini saya gabisa login baru aja download mau coba pake apk.. akan saya ganti bintang 1 jika saya bisa login.. termks",1,2024-05-27 19:06:41
C,Jelek. Gk bisa update lokasi,1,2024-05-27 15:15:38
Isabella Isabel,Ga bisa buat daftar,3,2024-05-27 05:03:41
Baehaqi Hasbiyansyah,Tidak bisa join pas pertama kali masuk,1,2024-05-26 15:09:48
Dzofri Al Maula,"SMS an buat promosi kalian ganggu asli, menuh²in kolom sms gw aja. Tolong dong bagian manager nya di handle lagi tuh divisi marketingnya, mempromosikan produk g mesti SMS ke nomor terdekat atau tertentu. Punya akal kan? Bisa dong ngakalin buat promosikan produk tanpa harus SMS gtu. Lagian gw sebagai konsumen kopi jg kaga prnh sama sekali mengonsumsi produk kopi kalian, masih ada produk yg lebih worth it utk di beli dgn harga dan kualitas yg jauh lebih enak. Sekian trims",1,2024-05-20 13:40:08
Ilma Hilda,Iimadil,5,2024-05-19 05:08:22
Nurul rafiqoh lubis,Aplikasi buang buang duit,1,2024-05-13 17:26:05
Ini Aja,"Mau sign in error terus,udah berbulan bulan saya gak bisa sign in padahal udah gak pake wifi",1,2024-05-12 18:02:41
zara fatimah,Burukkkk,1,2024-05-12 08:16:50
Amanda Ratna,"My favorite coffee, terimakasih kembali Starbucks Indonesia ♥️",5,2024-05-11 10:13:51
Risty SMY,Kenapaaaa selalu error dan bermasalah sih .. setiap hari,1,2024-05-05 01:06:15
BILAL ALBANI,Gabisa login lah woyy!!,1,2024-05-03 23:25:20
SPONGEBOB,boikot,1,2024-05-03 08:37:24
Sem Julian,Tidak bisa sign up,1,2024-05-01 05:37:17
Supriyanto,"Aplikasi lemot, mau cari store dilokasi ga ada hmm",1,2024-04-30 07:24:48
Wildan Hamdan,"Bayar pakai aplikasi Starbucks ada banyak promo, namun loading aplikasi lama dan berat.",4,2024-04-28 14:27:17
MARTIN CHANNEL,Bagus dan mudah,5,2024-04-24 06:44:13
alika tsalasta putri,bahasa inggris semua,4,2024-04-15 13:16:15
agung Zaydan,Haram,1,2024-04-11 03:45:52
Airiv,"Tolong dong aplikasi nya di benerin, masa mau log in di aplikasi nya error mulu. Kan kalau gini gimana pake nya klo mau log in di aplikasi nya aja ga bisa, udah di coba bolak balik tetep aja ga ada perubahan.",1,2024-03-25 07:39:34
Bambang Hariyanto,STAR BUCKS INDONESIA.,5,2024-03-23 03:41:27
budi irawan,"Baru download dan mau login malah gk bisa gmn aplikasi kya gini masih dipasang,mending hapus dari playstore",1,2024-03-21 04:48:05
ADHELA N,Gaasik,1,2024-03-13 01:59:07
rialdi darmawan,Tolong versi di perbaikin.,1,2024-03-12 20:27:37
Ahmad Fauzi,👎,1,2024-03-12 14:28:03
Muhammad Abdillah,Nyaman,5,2024-03-11 10:47:44
ROSITA GOH,"Untuk masa berlaku reward harap ditampilkan di aplikasi, jadi pemakai aplikasi bisa tau, rewardnya kapan expired.. Ini tau-tau hilang reward nya.. payahh👎👎👎👎👎",2,2024-03-05 00:39:01
Cahaya Maulana,Bad attitude untuk pelayanan nya. Cuek dan tidak ramah. Because i'm buy this item used promo. ( Starbucks CSB Mall ),1,2024-03-04 15:58:34
habieb wildan,aplikasi tidak informatif,1,2024-03-04 10:28:42
Mei Mei,Ga bisa login,1,2024-03-04 04:39:11
Arthin Dwisyahyana,Jual makanan kok untuk perang Jika betul tak ada hubungan nya. Aku bertanya kenapa tidak perna ada bantuan kemanusiaan untuk konflik perang,1,2024-03-01 18:42:52
MUHAMAD REZA ARIEF,Susah login,1,2024-02-24 07:26:10
Ifa maulida69,lelet,1,2024-02-23 17:29:37
Al Ghazali,Sulit banget masuk. Ud konfirm email pun sulid. Apk yg harusnya bisa update by google tp ga efisien,1,2024-02-20 04:42:12
roby sugara,"Sangat tidak ada attitude seorang karyawan, saya pick up orderan di Starbucks mall Ciputra Cibubur Karen orderan masuk sudah 30 mnt blm jadi saya menanyakan kepada karyawan, Jawaban kalau tidak mau menunggu jangan di ambil, padahal di restoran baru mulai ada antrian saya masuk",1,2024-02-19 17:13:42
Fiher Tjan,Banyak.promo Kopi enak,4,2024-02-16 07:58:32
Hanum Azizah,Kenapa gabisa login. Saya mau klaim birthday gabisa :( betulkan dong ka tolong.,1,2024-02-12 00:35:19
Putu ayunita Amirastiari,ga bisa daftar dan dpt no otp karena nomor gw cuma ada 10 digit. kocak ah,1,2024-02-11 10:03:38
Ulfa Defitri,"harga nya Mahal, tapi ga enak.",1,2024-02-09 04:50:23
ari saputro,Stop starbuck,1,2024-02-05 01:26:54
Faiz Rasyiddin,Bad Service,1,2024-02-03 06:09:08
Erfin Pasaribu,"Mau create acount kok musti nunggu 14 menit, yang bener aja",1,2024-01-31 04:19:30
Ade Jaya,Membeli kopi di Starbucks hanya membeli gengsi. Perusahaan ini pendukung Israhell ya?,1,2024-01-25 14:53:05
Elvin Juntak,See,5,2024-01-25 02:58:22
hanna husna,Kurang manfaat,1,2024-01-24 21:36:10
Andika Varian,Sementara skip dulu,1,2024-01-24 08:19:18
Farizqi Bekool,"Kopinya gosong, cuma jual merk saja, tidak enak,",1,2024-01-22 00:24:47
astrid yustika,high demamd mulu pas buka aplikasi. boleh beli gak si??????,1,2024-01-16 10:36:09
Abdil Mafaqhir (Afa),Good job😊😀👍,5,2024-01-15 05:21:14
bambang legowo,Boikot,1,2024-01-13 09:46:02
Arief Muhammad,🍉,1,2024-01-13 05:24:33
Jefri Nicocol,Ga enak,1,2024-01-10 04:39:21
Zaenal Arifin,Ikut aja,1,2024-01-09 18:02:45
Alhabsy Ridwan27,Promo sangat pelit tidak menarik,1,2024-01-07 11:07:28
Annisha Putri Setyabudi,Not recommended,1,2024-01-06 13:29:20
Aang Satyo,Okelah,5,2024-01-02 04:43:56
Tedy Liyanto,Tempat nyaman pelayanan sanfat cepat,5,2024-01-01 03:37:43
Benjamin Satan Yahudi,Tidak bermanfaat untuk kehidupan dunia sedikitpun,1,2024-01-01 01:59:43
Niko,"Bikin promo minuman spesial, tp di cabang mana pun ga ada menunya. Ampun deh.",1,2023-12-31 08:11:33
Drag Boz,"Best coffee company in the world🥰, kalian akan selalu disambut baik oleh warga indonesia🇮🇩",5,2023-12-31 07:57:42
Shanty Sugiarti,"Promo yang tidak menarik, dan rasa kopi yang tidak konsisten dr 1 cabang dengan cabang yang lain.. di aplikasi nya promonya masih menggunakan sistem promo gaya lama sangat tidak menarik konsumen",1,2023-12-29 02:11:49
pingki karmila,saya kasih rating 1 karena pas saya log out untuk pindah device susah banget log on nya lagi,1,2023-12-28 03:22:17
Roni aji saputro,sangat bagus,5,2023-12-27 12:32:49
indra sastrawan,Payah !!!,1,2023-12-26 15:43:31
princess 27,pro zion1s..pro 1srael...starbucks penjajah soalnya..bad,1,2023-12-26 03:38:26
Yua all,Boykot,1,2023-12-25 17:30:40
Jul Kay,NAJIS STARBUCKS APK SULTAN UDAH PELIT BINTANGNYA MAKIN NAIK AHH KAPOK GUE BELANJA D SBUCK KALO KAYA GINI MAH 🤣 ULTAH KAGA D KASI KUE MENDING APK SEBELAH,1,2023-12-25 06:00:29
Aditya,"Jelek. Nggak bisa kepakai. Selalu muncul ""permintaan akses terlampau tinggi""",1,2023-12-25 02:02:54
Ridwan -,Gk tau gabut aja,1,2023-12-23 15:58:12
achmad fadli firdaus,Maaf saya unisntall karena produk pendukung zionist,1,2023-12-22 00:03:15
Fatih Al-Ayyubi,Bad Apps.,1,2023-12-21 17:29:01
Sartin Anggraini,Ok,5,2023-12-19 14:21:43
Putu Agus Eriawan Kusuma,"Kenapa update promo Linenya lambat sekarang ya? Tolong dong di update sesuai jam kebukaaan setiap wilayah atau jam 00.01 pada hari Hnya Soalnya Promo line baru update jam 08.00 WIB, tapi di WITA sama WIT udah telat / lewat duluan Orang mau kerja pagi jadi ga kebagian promo cuma bisa kesel ngeliat Promo Line telat masuknya !!!",1,2023-12-19 01:12:22
Ardiansyah Yudha Prasetya,"Gk bisa login, tulisannya server penuh padahal uang saya di akun sbux ada lebih dari 200k",1,2023-12-15 17:08:26
Insyirah Gemilang Edukasi,Plain,1,2023-12-15 08:51:43
Olivia Leavy,Aplilkasi busuk sering gabisa dipakai,1,2023-12-12 06:30:20
Finessetiaputri 1999,"Gak guna sih, percuma download dan beli rewards slalu pelit prah",1,2023-12-10 21:56:28
Rachel Khalita,"""join now"" gabisa dipencet. udah coba lepas wifi, sm pake paketan data ttp gabisa. smpe uda coba uninstall trs install lg jg ga bisa click join now nya",1,2023-12-10 13:45:02
Ar Me,Not recomended 👎,1,2023-12-10 12:04:40
rumi djalil,"Poin di devaluasi lebih dari 40 persen. 1 free dinaikkan dari 100 menjadi 120 poin. Dan 1 poin dinaikkan dari 5rb jadi 6rb Untuk 1 free sebelumnya perlu belanja 500rb, sekarang harus belanja 720rb.",3,2023-12-09 08:30:24
Suyanto Joko,Baby killer,1,2023-12-07 06:58:19
Imam Asrori,Tidak ramah,1,2023-12-05 05:06:13
Romie Mocka,Saya kasih rating 1 karena aplikasi ini semakin pelit promo dan rewards. Bahkan di hari ultah yang biasanya ada reward di aplikasi sekarang sudah gak ada. Untuk reward dan benefits tolong dong di evaluasi lagi agar seperti dulu.,1,2023-12-04 12:20:00
Sunariyono Hadi,Baik,5,2023-12-03 01:02:35
nurul anisa,Baby killer,1,2023-11-28 22:15:41
Ghea Putri Hendriani,Soalnya pendukung genoside,1,2023-11-28 00:38:00
Pengguna Google,perjalanan jauh mengasikan ditemani ice coffe late gula aren🙂,5,2023-11-27 12:06:59
IRWAN GUNAWAN,"2 minggu ini tidak bisa buka aplikasi starbucks dan selalu muncul peringatan seperti ini: Karena permintaan yang tinggi, permintaan Anda membutuhkan waktu lebih lama untuk diproses daripada yang diharapkan. Silakan coba lagi nanti. Kami minta maaf atas ketidaknyamanannya. Bagaimana ini starbucks.?",1,2023-11-26 03:55:40
Didik Suprang,Luar biasa rasanya,5,2023-11-25 04:14:09
zafran fausan,"aplikasi tidak bisa dibuka karena alasan high demand, reward sama saldo ngendap diapk. Sorry doesnt makes the situation better as the costumers",1,2023-11-24 08:50:55
rachman cahyadi,"Uninstall dulu karena di duga terafiliasi, kata MUI haram",1,2023-11-24 03:41:46
Arif Sulaiman,sangat jelek dan tidak berkualitas!,1,2023-11-23 17:21:36
Irman Maulida Sunarya,Good,5,2023-11-23 12:18:15
Rahayu Amanda,pas verifikasi ke gmail gabisaaaaa!!,1,2023-11-22 20:46:48
Nano Pemangku,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5,2023-11-22 11:53:52
Dudung Sentosa,"Banyak promo cuy udah gitu ga harus ribet dateng, tinggal pesen terus bayar wkwk.....",5,2023-11-22 07:04:24
Ahmad Bastori,"gampang ngelag ni apk, payah",1,2023-11-20 03:57:39
pendjol wangペンジョル・ワン,Tidak dapat memesan di daerah bandung,1,2023-11-18 03:38:45
Aditya Rayyan,Error mulu,1,2023-11-17 14:42:30
wildan kholik,Bangkrut ajj anytt,1,2023-11-17 11:04:54
kim hongjoong,"Due to high demand mulu nihh. Sumpahh kesel banget tiap buka gabisa terus, benerin Napa elah",1,2023-11-17 00:48:14
iwonk da ipey,Boikot israHELL,1,2023-11-16 04:24:35
Landy Fathurochman,Aplikadi tak pantas.,1,2023-11-15 23:54:55
12 jt x ditonton,"mahal, jangan mau dibohongi",1,2023-11-13 15:10:08
Me Me,Saldo tiba tiba menghilang 😑,1,2023-11-13 13:33:04
Cahyo Nurkholis,Boycot,1,2023-11-13 12:27:19
Berkat Sejati (TokoBerkatSejati),Ok,5,2023-11-07 03:04:01
Jehan Lestari Abidin,Ga jelas aplikasinya oernah bikin member ga bisa bisa ga masuk padahal udah,1,2023-11-05 10:37:57
wi jaya,Starbucks ga jelas.....,1,2023-11-05 05:41:36
Rizky SyahPutra,Busuk,1,2023-11-05 04:49:06
Shifa Farahdilla Tifarin,"Not today! Not tomorrow, i stand with humanity!",1,2023-11-04 04:47:56
Jake Bayu,Mengecewakan,1,2023-11-03 22:30:48
Rivan Adelmar,Kopi Zionis.. Bikin Muntah Darah 🍉🍉🍉🍉,1,2023-11-03 05:11:14
Eneas Ekawasty Suwatama,Tiap mau masukin e code selalu inactive,3,2023-11-02 14:46:22
edi mulyadi,"sudah seminggu aplikasi starbucks ngk bisa buka, sdh kirim email ke starbucks, di suruh reset. gimana mau reset buka aja ngk bisa",5,2023-11-02 14:20:29
Sri Wahyuni,Kecewa bgt💔,1,2023-11-02 13:18:51
Desi Desi,Mahal sangat ..,1,2023-11-01 22:03:57
nw rengganis,skip sama yg pro zionis,1,2023-11-01 10:40:26
Tony Flash_5000,Sampah....,1,2023-11-01 07:38:59
Lenny Gurky,Terlalu buruk,1,2023-11-01 06:32:18
amelisoneng,tidak semenarik dulu. #boikot,1,2023-11-01 03:10:41
Sani Fitriani Hasanah,👎👎👎,1,2023-10-31 19:02:26
Fauziah Azmy,Tidak bagus,1,2023-10-31 10:28:06
riizald dealova,The real of zionis,1,2023-10-31 05:55:08
RIZALDHI AKBAR,Jelek bgd,1,2023-10-30 13:51:37
Wiwin blank,Mahal semua,1,2023-10-30 12:35:50
Siti Aminah,Aplikasi eror terus,1,2023-10-29 15:45:21
Harni Dea,Force close,1,2023-10-29 03:59:22
Nabilla Nurul Hakim,👎🏻,1,2023-10-29 00:51:21
Bmbng Snts,Boycott Starbucks,1,2023-10-29 00:02:48
Ucok Kurnianto,Aplikasi,1,2023-10-28 09:36:24
Halo Halo,Zionosit,1,2023-10-28 05:24:28
Hendra Kesuma,Aplikasi menyusahkan,1,2023-10-27 14:44:30
Imam Land,Ok,5,2023-10-26 05:42:56
Ariana Ayu,Mau new join ga bisa tombol join tidak berfungsi. Udah nyoba download 3 kali tapi tetep ga bisa. Tolong di perbaiki sistemnya,1,2023-10-26 04:45:48
Obeisance175,"Haiya macam mana ini o oe ga bisa join, mau beli starbuck pun susahh chawnimaaa",2,2023-10-26 03:41:08
Ridho,tidak bisa login dan selalu tidak bisa masuk ke halaman awal padahal koneksi lancar dan tidak bermasalah jaringan,1,2023-10-25 08:51:17
Nicholas Ritinga,"Sangat kecewa dgn aplikasi ini, saya mau Join Member malah katanya internal server error, sudah berkali2 saya coba, gonta-ganti internet dan paket data serta Instal-uninstal apk ini. Sia2 saya download apk ini tlg dg ini apk rusak. Apa ada saran?",1,2023-10-24 11:58:30
Nando Dwiko Febria,tjeritasahabat,1,2023-10-23 12:59:05
Erli Karim,"ribet, mumet... udh ngisi semua kolom... udh hijau semua, tandanya pengisian sdh benar, tetep aja gak bisa create account... gak ngerti lagi maunya apa",1,2023-10-23 10:50:21
Noob-er virgoka,"Mau sign in gk bisa mau new join juga tombolnya gk berfungsi? Ini gimana appnya, soalnya udah 2 kali download belum bisa pakai app ini, masalahnya selalu ada di login",1,2023-10-22 13:46:24
eriya riz,"Sudah daftar, pas sign in tdk bs. Padahl daftar sudah success.",2,2023-10-22 09:31:11
Amellia Octaviani Putri,Gk bisa login 😫😫😫,3,2023-10-22 00:37:31
Risa Cahayo,hendracahayo,5,2023-10-20 11:28:26
Natalia. W,"Aplikasi ga bisa bantu order kemasan botol, yg ditawarkan kemasan cup saja, tidak semua store terupdate, mohon maaf saya un-instal, ga niat ngumpul poin kalau ga memuaskan pelanggan, mending order di e-comerce yg lain. Perbaiki lagi aplikasi.",1,2023-10-20 03:34:28
Awa Rara,"ngak jadi dari tdi ada bikin"". gmn sih?",1,2023-10-20 01:04:13
Shella Rais,Nice,5,2023-10-19 19:13:17
fransiska dewi,Kenapa email dan pass saya tidak valid saat mau login dan nomor saya sudah masuk terdaftar dan saya sudah mendaftar di email juga tidak ada email konfirmasi apapun jadi kesalahannya ada dimana?,2,2023-10-18 13:46:03
Indra Maulana,Andi tangsa,5,2023-10-16 03:09:20
Gala Lubis,Lancar jaya,5,2023-10-14 12:31:20
Yulia Fitri,Kenapa yg join now nggk bisa di klik,1,2023-10-14 09:38:08
Andi Mallarangeng,Pembelian online knp cuman ada di jakarta di malang kokkk gaa adaaaa wooii,2,2023-10-14 05:14:52
Zamora Valena,AKUN BARU BIKIN GAK BISA MASUK !!!,1,2023-10-10 02:48:29
Andrian Haris,"starbuck memang oke, tapi harga jangan naik terus dong",4,2023-10-07 11:41:49
Tari lahat,Apqka ada bisa menayangkan acaratv dan pidiyuhya,4,2023-10-03 11:39:47
riska tomba,banyak reward,5,2023-10-02 05:36:38
wvelved,"Starbucks indonesia, tp area jateng aja ga bisa pesen lewat aplikasi, terus gunanya apa?!",1,2023-09-30 01:06:22
zulkarnain “izul” ari,mantap markotop,5,2023-09-26 12:17:23
Aimee 2509,"Makasih cs yg sudah jawab dengan kata2 ""ANDA"" .. mari belajar lagi menggunakan kata kata dalam menjawab balasan email.. salam.. ANDA",1,2023-09-25 03:58:58
Ricki Asih,Ok,5,2023-09-23 13:14:12
jasen prayoga,bagus aplikasinya bisa dapet promo,5,2023-09-22 09:47:38
Catherina Hutasoit,Ga jelas gunanya apa ini app. ngisi saldo aja harus nunggu 1 x24 jam itu pun belom jelas.. ga guna kan klo hanya nambahin bikin ribet yg mau belanja..,1,2023-09-22 07:05:41
ardi suryana,Store untuk medan belum terdaftar semua. Conton starbuck marelan belum terdaftar,1,2023-09-16 11:17:33
Seto Putro Alfianto,"ga jelas, outlet terdekat semuanya di jakarta, padahal di kota sini banyak outlet, di tulis di kolom pencarian ga ketemu semua, aplikasi ga guna",2,2023-09-16 05:04:06
Ageng N.Baniargi,Udh mahal. Aplikasi rusak semua dalamnya,1,2023-09-14 08:34:08
Nia Paramita,Saya gak bisa masuk ke aplikasinya,1,2023-09-07 04:02:15
Triana itu nana,Lbh baik app kopi kenangan dan Fore 🙃 sekelas Starbucks App nya Gak jelas 🥱😓,1,2023-09-04 22:31:39
Melinda Putri,Lemot,1,2023-09-01 10:15:11
Widya Nugraha,Bagus sekali,5,2023-08-30 06:19:32
Vanessa Chatarina Manurung,"saya udah buat akun tapi pas saya masukkan password katanya salah padahal password nya emg sudah benar, di web padahal bisa tapi di apk nya gak bisa. gimana dong?🙏",5,2023-08-29 23:59:47
Ali Imron,Minuman yang disajikan secara online dan dipesan tanpa diharuskan datang ke restonya dan mantap dinikmati selagi santai di rumah bersama saudara dan teman,5,2023-08-27 07:24:37
umar alfaruq,Ngga bisa masuk padahal email dan password dah bener,2,2023-08-23 13:00:11
Hendra Wijaya,Good,5,2023-08-20 16:32:22
Daeng Nanggung,"Aplikasi kok lemot skali,, buat aplikasi itu memang harus serius dan harus berani gaji IT tinggi, klw gajinya biasa2 yah pasti lemot begini aplikasi nya",2,2023-08-20 11:01:41
Monika Putri,Cara masuk daftar nya gimana sih referral code terus minuman favorit gitu,3,2023-08-20 08:55:35
Indrie Cloe,Good & Familiar,5,2023-08-19 07:27:08
anna allesha,"Tidak bisa pilih store yang paling dekat, fitur pencarian starbucks terdekat tidak berfungsi dan selalu diarahkan ke daerah yang jauh! sehingga saya tidak bisa order",1,2023-08-16 07:57:05
adrian farrel,ko ppk ko,1,2023-08-13 07:49:26
Haikal Fajar,Ok,5,2023-08-12 05:54:09
Firda Yuliana,Gk bisa order lewat app klo di samarinda padahal disini Starbucks sudh bnyak,1,2023-08-07 21:03:32
Witch VR,Kok ga bisa login ya? Padahal pake internet hp stabil. Buat main game aman.. giliran buka aplikasi ini tulisannya ga ada internet..,2,2023-08-03 14:44:01
Alvianshah Zainiyi,"Tolong terbitkan histori pembelian, jadi bisa tau apa aja yang saya terima dengan apa aja yang ada di receipt. Terkadang masih ada aja cashier yang masih nakal, dengan berbagai alasan. Mana gak rajin kasih notifikasi promo apa aja yang ada",5,2023-08-02 12:38:07
Syafina Putri Marliza,"sejauh ini aplikasi lancar, tidak ada kendala",5,2023-07-30 06:38:51
ichaaa live,"Invalis user nama or password,padahal udah benar, sampe reset pasword.masih aja gak bs. Hmmmm",1,2023-07-29 13:31:00
Antonius Haryanto,Bagus ok,5,2023-07-27 04:45:30
Renny Nindita,Banyak reward cuma sayang waktu nya terlalu singkat. Jadi banyak reward yang hangus gak kepakai. Terus kadang suka error' kalau lagi ada promo,4,2023-07-24 10:21:40
Rika Marsesi,Sudah beberapa kali ganti nomor hape dan email tapi tetap aja gak bisa sign in,1,2023-07-24 05:48:36
ridwan adillah,Gk bisa di pakai,1,2023-07-22 16:25:40
Hendra Lie,"Starbucks belezza permata hijau katanya senen-jumat tutup jam 8 malem, tp khusus weekend cuman smpe jam 6??? Kacau...",1,2023-07-22 10:53:23
Jemy Matthew,"Lemot appnya. Nda bisa cari store, tampilan tidak menarik. Kalah jauh sama app nya my f&b app dan fore app.",2,2023-07-22 02:52:31
Angga Syahputra,Keren,5,2023-07-21 13:54:59
Fitria ayu Ernawati,Bisa dapat promo setiap pesanan.. Bagus banget,5,2023-07-20 14:47:18
guz baguz,"Kalau lg ada promo sering down/error aplikasinya, apa memang disengaja biar reward promo tidak bisa dipakai ya? 😄 lihat instagramnya ternyata memang banyak keluhan yang sama. Parah",1,2023-07-19 08:41:51
Kurnia Sari,gak bisa login,1,2023-07-19 05:13:07
Albert Mulyadi,Nearby store nya kenapa jauh2 dari rumah pas mau order? Gak semua store bisa pickup order ya?,1,2023-07-19 04:57:53
Rizkia Danun,"Ini baru aja download app nya, tapi ternyata kok nomor saya udah didaftarkan padahal butuh otp kan ya? Aneh banget bahkan semua nomor telpon saya udah ke daftar, ini starbuck gimana penjelasannya sama yg kaya gini? Yg punya nomor telpon asli jadi gabisa daftar",1,2023-07-19 04:56:17
Russambodo Sambodo,Keren. ... mantap app.nya..,5,2023-07-19 02:18:20
Chintya Immanuelle,Aplikasinya byk reward 👍,3,2023-07-18 07:50:25
Rian Ricak,Bahasa Indonesia nya campur aduk,3,2023-07-14 22:19:03
yudha kurniawan,"Aplikasinya enak banyak reward (meski klo bisa perlu diperbanyak lagi Rewardnya seperti promo 50%), App lumayan rada berat klo ngebuka nya butuh sinyal atau wifi yg kuat utk mengaksesnya",4,2023-07-10 16:13:51
isaac old geng,Oke,5,2023-07-09 05:03:56
016_Farel Mochamad Firdaus,"Tolong adain pembayaran seperti dana,ovo,gopay,dll dong",2,2023-07-08 15:37:32
Ferry Tan,reward tidak pernah dapat biarpun udah gold 320+,1,2023-07-08 01:17:19
Risdam F,Semangkin keren aplikasi ini,5,2023-07-07 13:10:01
